iter	Logloss
0	0.6493115963
1	0.6062183201
2	0.5673652832
3	0.5400613764
4	0.5158386548
5	0.489075194
6	0.4655863338
7	0.4475845406
8	0.4308951196
9	0.4147130336
10	0.3999442618
11	0.3872091907
12	0.3777380926
13	0.3623421173
14	0.3429622591
15	0.3352684632
16	0.3202914351
17	0.3120482171
18	0.3034719837
19	0.2953629456
20	0.2864325474
21	0.2830107891
22	0.2760932173
23	0.2684857345
24	0.2647890322
25	0.2593527115
26	0.2525922899
27	0.2489258405
28	0.245283928
29	0.2426797825
30	0.2399343437
31	0.2370174221
32	0.2345440269
33	0.232867836
34	0.2291184821
35	0.2260394564
36	0.2248109202
37	0.222122854
38	0.216433014
39	0.2140396441
40	0.2116414049
41	0.2093533593
42	0.2053049903
43	0.2035541303
44	0.2026859407
45	0.2010060237
46	0.1989643416
47	0.1967207333
48	0.1947580603
49	0.1927455303
50	0.1908866784
51	0.1885218043
52	0.1869189699
53	0.1854334635
54	0.1847235038
55	0.1829062735
56	0.1820791763
57	0.1804467452
58	0.1783177551
59	0.176264662
60	0.1758050247
61	0.1725234906
62	0.1708601079
63	0.1693743687
64	0.1681006224
65	0.1666405844
66	0.1651045964
67	0.1635608494
68	0.1620372041
69	0.1605706349
70	0.1597724568
71	0.1587487365
72	0.1574962244
73	0.156973255
74	0.1561582356
75	0.1551376486
76	0.1532391122
77	0.1526368902
78	0.1508505798
79	0.1500350418
80	0.148704378
81	0.1476626414
82	0.1462930976
83	0.1451439092
84	0.144281605
85	0.1424324705
86	0.1414857693
87	0.1410372361
88	0.1400839402
89	0.1386857736
90	0.1377702992
91	0.1368125362
92	0.1360753933
93	0.1351413098
94	0.1344154509
95	0.1337568724
96	0.1325200161
97	0.1318283796
98	0.1306972074
99	0.1295486752
100	0.128903085
101	0.128450741
102	0.1281323229
103	0.1274004515
104	0.1266672146
105	0.1261135899
106	0.1250471789
107	0.1244723836
108	0.1232073913
109	0.1225984688
110	0.1223714235
111	0.1215429713
112	0.1209295288
113	0.1196387506
114	0.1189447536
115	0.1183238273
116	0.1175063309
117	0.1166887498
118	0.1163177543
119	0.1158758793
120	0.115046739
121	0.1143870385
122	0.1136197696
123	0.1126860037
124	0.1121427104
125	0.1116889374
126	0.1108871179
127	0.1102772216
128	0.1095538078
129	0.109257799
130	0.1082531853
131	0.1080206462
132	0.1073453111
133	0.1066868491
134	0.1062865533
135	0.1058891474
136	0.1054694169
137	0.1048178142
138	0.103819213
139	0.1034053574
140	0.1031668799
141	0.1024858499
142	0.1021664051
143	0.1011481892
144	0.100606092
145	0.09985034002
146	0.09941995007
147	0.09856793486
148	0.09822785916
149	0.09761143161
150	0.09753672017
151	0.09732794522
152	0.09696841364
153	0.09660734718
154	0.09642979903
155	0.09626359837
156	0.09558298122
157	0.09504919353
158	0.09433818583
159	0.09412255157
160	0.09402835249
161	0.09368221139
162	0.09346605844
163	0.09209103143
164	0.09182666219
165	0.09169498037
166	0.09131767598
167	0.09101075362
168	0.09076615782
169	0.09045048137
170	0.09018621799
171	0.08984674566
172	0.08973593816
173	0.08947886223
174	0.08923090029
175	0.08862673058
176	0.08809821969
177	0.08782931462
178	0.08750485233
179	0.08690248741
180	0.08639156938
181	0.08585505596
182	0.08574155979
183	0.08556363056
184	0.08538343606
185	0.08525295569
186	0.08484691735
187	0.08425772591
188	0.0842283198
189	0.08380781128
190	0.08359212938
191	0.08331386157
192	0.082970949
193	0.08286481494
194	0.0825848376
195	0.08238543597
196	0.08220627884
197	0.08206158763
198	0.08174035386
199	0.08092129086
200	0.08084639947
201	0.08064654797
202	0.08021884671
203	0.0800473375
204	0.07981638093
205	0.07933731952
206	0.07922934361
207	0.07885397634
208	0.07857993738
209	0.07840356949
210	0.07806738391
211	0.07791990346
212	0.07773584531
213	0.07754521894
214	0.07693680979
215	0.07679052019
216	0.07669723675
217	0.07650891799
218	0.07611440711
219	0.07589460751
220	0.07573767433
221	0.07551462502
222	0.07533157777
223	0.07515703056
224	0.07494997573
225	0.07473988819
226	0.07450668753
227	0.07448605138
228	0.07430091352
229	0.07427870545
230	0.07400819141
